[14:51:27] [main/INFO] (FabricLoader/GameProvider) Loading Minecraft 1.19 with Fabric Loader 0.14.6
[14:51:27] [main/INFO] (FabricLoader) Loading 35 mods:
	- fabric 0.55.1+1.19
	- fabric-api-base 0.4.8+e62f51a357
	- fabric-api-lookup-api-v1 1.6.5+9ff28f4057
	- fabric-biome-api-v1 9.0.11+e62f51a357
	- fabric-command-api-v2 2.0.1+e62f51a357
	- fabric-content-registries-v0 3.0.15+9ff28f4057
	- fabric-convention-tags-v1 1.0.7+37622d2457
	- fabric-crash-report-info-v1 0.2.2+bd0a0d4a57
	- fabric-data-generation-api-v1 5.0.0+2a5b921057
	- fabric-dimensions-v1 2.1.26+72da3b3d57
	- fabric-entity-events-v1 1.4.15+9ff28f4057
	- fabric-events-interaction-v0 0.4.25+9ff28f4057
	- fabric-game-rule-api-v1 1.0.18+1899036157
	- fabric-gametest-api-v1 1.0.29+e62f51a357
	- fabric-item-api-v1 1.5.3+767db26e57
	- fabric-item-groups-v0 0.3.22+9ff28f4057
	- fabric-lifecycle-events-v1 2.0.8+21a5acaa57
	- fabric-loot-api-v2 1.0.0+9e7660c657
	- fabric-message-api-v1 1.0.0+513f4a5957
	- fabric-mining-level-api-v1 2.1.6+9ff28f4057
	- fabric-networking-api-v1 1.0.26+7fe9740957
	- fabric-object-builder-api-v1 4.0.4+9ff28f4057
	- fabric-particles-v1 1.0.7+9ff28f4057
	- fabric-registry-sync-v0 0.9.15+92cf9a3e57
	- fabric-rendering-data-attachment-v1 0.3.11+9ff28f4057
	- fabric-rendering-fluids-v1 3.0.4+9ff28f4057
	- fabric-resource-conditions-api-v1 2.0.8+e62f51a357
	- fabric-resource-loader-v0 0.5.2+9e7660c657
	- fabric-screen-handler-api-v1 1.2.5+9ff28f4057
	- fabric-transfer-api-v1 2.0.7+e62f51a357
	- fabric-transitive-access-wideners-v1 1.1.0+9e7660c657
	- fabricloader 0.14.6
	- java 17
	- mcwebserver 0.1.0
	- minecraft 1.19
[14:51:28] [main/INFO] (FabricLoader/Mixin) SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/home/jonas_jones/.gradle/caches/modules-2/files-2.1/net.fabricmc/sponge-mixin/0.11.4+mixin.0.8.5/c1dc27696aa4006e492c2485c9ccbcb26045a971/sponge-mixin-0.11.4+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[14:51:28] [main/INFO] (FabricLoader/Mixin) Loaded Fabric development mappings for mixin remapper!
[14:51:28] [main/INFO] (FabricLoader/Mixin) Compatibility level set to JAVA_16
[14:51:28] [main/INFO] (FabricLoader/Mixin) Compatibility level set to JAVA_17
[14:51:30] [main/WARN] (FileUtil) Configuration conflict: there is more than one oshi.properties file on the classpath
[14:51:30] [main/WARN] (FileUtil) Configuration conflict: there is more than one oshi.architecture.properties file on the classpath
[14:51:36] [main/INFO] (Minecraft) Building unoptimized datafixer
[14:51:39] [main/INFO] (mcwebserver - VERBOSE LOGGER) Verbose Logger is now logging.
[14:51:39] [main/INFO] (mcwebserver - VERBOSE LOGGER) Loaded config file successfully: found 7 overrides and configurations.
[14:51:39] [main/INFO] (mcwebserver) McWebserver initialized!
[14:51:39] [main/INFO] (mcwebserver) Webserver disabled in the config file.
[14:51:39] [main/INFO] (Minecraft) Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[14:51:43] [main/INFO] (Minecraft) Loaded 7 recipes
[14:51:43] [main/INFO] (Minecraft) Loaded 1179 advancements
[14:51:45] [main/INFO] (BiomeModificationImpl) Applied 0 biome modifications to 0 of 63 new biomes in 3.372 ms
[14:51:45] [Server thread/INFO] (Minecraft) Starting minecraft server version 1.19
[14:51:45] [Server thread/INFO] (Minecraft) Loading properties
[14:51:45] [Server thread/INFO] (Minecraft) Default game type: SURVIVAL
[14:51:45] [Server thread/INFO] (Minecraft) Generating keypair
[14:51:45] [Server thread/INFO] (Minecraft) Starting Minecraft server on *:25565
[14:51:45] [Server thread/INFO] (Minecraft) Using epoll channel type
[14:51:45] [Server thread/INFO] (Minecraft) Preparing level "world"
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-3/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-3/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-1/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-1/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-1/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:18] [Worker-Main-1/INFO] (Minecraft) Preparing spawn area: 0%
[14:52:19] [Worker-Main-2/INFO] (Minecraft) Preparing spawn area: 1%
[14:52:19] [Worker-Main-1/INFO] (Minecraft) Preparing spawn area: 25%
[14:52:20] [Worker-Main-3/INFO] (Minecraft) Preparing spawn area: 72%
[14:52:20] [Server thread/INFO] (Minecraft) Time elapsed: 34486 ms
[14:52:20] [Server thread/INFO] (Minecraft) Done (34.954s)! For help, type "help"
